,Generated Instruction
0,"ECE 6601 is ""Electromagnetic and Microwave Applications"".
Technical Interest Group(s) / Course Type(s): Electromagnetics
Description: Basic theory of electromagnetic waves and their applications in communication, radar, and microwave engineering. Credit not allowed with ECE 4601.
More details: https://ece.gatech.edu/courses/ece6601
    "
1,"    Course Coordinator: ECE4783: Introduction to Medical Image Processing
Technical Interest Group: Medical Imaging
Course Type: Seminar
Technical Requirements: Seminar presentation
Description: Introduction to the medical image processing community, including the state of the art in medical imaging modalities and the challenges and opportunities of image processing in medical applications.
More details: https://ece.gatech.edu/courses/ece4783
    "
2,"    System and Controls is taught through courses that cover the fundamentals of control systems and their application to modern engineering problems.
    "
3,"ECE6280 is offered in the Fall and Spring semesters. You can enroll in ECE6280 in the Fall or Spring semester of the next academic year.
    "
4,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
5,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
6,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
7,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
8,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
9,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
10,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
11,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
12,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
13,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
14,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
15,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
16,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
17,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
18,"    Course: ECE 6456
Technical Interest Group: Electrical Energy
Description: Study of semiconductor solar cells, including silicon-based devices.
More details: https://ece.gatech.edu/courses/ece6456
    "
